Model,Blackout_Prob,Crash_Rate,Avg_Reward,Std_Reward,Avg_Speed,Avg_Blackouts_Per_Episode,Degradation
DQN (Aggressive),0.0,68.66666666666667,-8.608761034935773,7.5645350556283395,23.488069588611346,0.0,1.4666666666666686
DQN (Aggressive),0.05,81.83333333333334,-10.859472875384187,6.225436920415273,23.67978359267635,1.4666666666666666,14.63333333333334
DQN (Aggressive),0.075,86.0,-11.579890440684617,5.595761576457693,23.73570854755747,1.845,18.799999999999997
DQN (Aggressive),0.1,90.16666666666666,-12.292338424700043,4.85987578123466,23.947251361026513,2.09,22.966666666666654
DQN (Aggressive),0.15,93.0,-12.81658612801221,4.270460023852833,24.002732024302954,2.81,25.799999999999997
DQN (Aggressive),0.2,96.83333333333334,-13.527108163505808,2.957021823590327,24.13590243373537,2.953333333333333,29.63333333333334
QRDQN (Aggressive),0.0,14.000000000000002,-2.091333849729851,5.205059988588703,20.0253347887601,0.0,0.20000000000000107
QRDQN (Aggressive),0.05,14.000000000000002,-2.092090372587615,5.204758153260761,20.0246890945043,2.8233333333333333,0.20000000000000107
QRDQN (Aggressive),0.075,14.833333333333334,-2.216278495971968,5.333082292831226,20.021390912829148,4.281666666666666,1.0333333333333332
QRDQN (Aggressive),0.1,15.333333333333332,-2.292867996992589,5.4067706931691255,20.016010762170275,5.461666666666667,1.5333333333333314
QRDQN (Aggressive),0.15,18.0,-2.692909103569877,5.762159965202919,20.01231054705569,8.33,4.199999999999999
QRDQN (Aggressive),0.2,16.666666666666664,-2.4940367332362783,5.593030931799551,20.00911918208125,10.853333333333333,2.8666666666666636
