Model,Delay_Steps,Delay_Seconds,Delay_ms,Crash_Rate,Avg_Reward,Std_Reward,Avg_Speed,Degradation
DQN (Aggressive),0,0.0,0.0,68.66666666666667,-8.608761034935773,7.5645350556283395,23.488069588611346,1.4666666666666686
DQN (Aggressive),1,1.0,1000.0,99.83333333333333,-14.23910451980422,0.9838745200306941,24.285262698832835,32.633333333333326
DQN (Aggressive),2,2.0,2000.0,100.0,-14.378808116995344,0.708831670528328,24.3672638109837,32.8
DQN (Aggressive),3,3.0,3000.0,100.0,-14.463502160681125,0.6409693707031815,24.37957203234065,32.8
DQN (Aggressive),4,4.0,4000.0,100.0,-14.504746169587328,0.6139728490752584,24.35289100004255,32.8
QRDQN (Aggressive),0,0.0,0.0,14.000000000000002,-2.091333849729851,5.205059988588703,20.0253347887601,0.20000000000000107
QRDQN (Aggressive),1,1.0,1000.0,56.99999999999999,-8.504227271464892,7.449199521354354,20.10644762172438,43.19999999999999
QRDQN (Aggressive),2,2.0,2000.0,71.83333333333334,-10.725599452782538,6.77612214124094,20.59739593788329,58.033333333333346
QRDQN (Aggressive),3,3.0,3000.0,82.16666666666667,-12.265944406935253,5.761300455588686,21.085218890228862,68.36666666666667
QRDQN (Aggressive),4,4.0,4000.0,87.0,-13.003242698352864,5.061436622793349,21.460243205125256,73.2
