Model,Noise_Std,Crash_Rate,Avg_Reward,Std_Reward,Avg_Speed,Degradation
DQN (Aggressive),0.0,68.66666666666667,-8.608761034935773,7.5645350556283395,23.488069588611346,1.4666666666666686
DQN (Aggressive),0.025,99.83333333333333,-14.192515782280225,1.040028781972565,24.13903824439334,32.633333333333326
DQN (Aggressive),0.05,100.0,-14.497933393313318,0.5411460923545599,23.98807605681109,32.8
DQN (Aggressive),0.075,100.0,-14.48759663662325,0.5471976102730909,24.170290244245,32.8
DQN (Aggressive),0.1,100.0,-14.53192317586649,0.5426319768110518,24.09945624242834,32.8
DQN (Aggressive),0.15,100.0,-14.53303989464827,0.5288399820765155,24.090230396979578,32.8
QRDQN (Aggressive),0.0,14.000000000000002,-2.091333849729851,5.205059988588703,20.0253347887601,0.20000000000000107
QRDQN (Aggressive),0.025,70.83333333333334,-10.613884218650702,6.82321741871474,19.81090099791219,57.033333333333346
QRDQN (Aggressive),0.05,95.0,-14.234736836064853,3.271851424540407,19.818397768813792,81.2
QRDQN (Aggressive),0.075,97.33333333333334,-14.57420245865179,2.4288820026918745,19.99458112580847,83.53333333333335
QRDQN (Aggressive),0.1,98.66666666666667,-14.765150189918312,1.7228571014332617,20.167122163672,84.86666666666667
QRDQN (Aggressive),0.15,99.16666666666667,-14.799603822148983,1.3781957760105692,20.924835976684616,85.36666666666667
